rowid,ID,Country,Type,Date,Year,Title,Outcome
154,Switzerland Proactive,Switzerland,Proactive,2002-03-11,2002,revise entire constitution,FailedPostSignature
155,Switzerland Proactive,Switzerland,Proactive,2002-02-20,2002,prohibit slaughtering without anaesthesia,FailedPostSignature
156,Switzerland Proactive,Switzerland,Proactive,2002-02-05,2002,prohibt all kinds of Mobile communication antennas until proven they are harmless,FailedPostSignature
157,Switzerland Proactive,Switzerland,Proactive,2001-12-03,2001,regulation on health insurance (to lower costs),FailedPostSignature
160,Switzerland Proactive,Switzerland,Proactive,2000-12-18,2000,change health insurance regulation,FailedPostSignature
163,Switzerland Proactive,Switzerland,Proactive,1999-08-06,1999,no tax increases of any kind for seven years,FailedPostSignature
164,Switzerland Proactive,Switzerland,Proactive,1999-06-04,1999,referendum vote should take place 6 months after admission,FailedPostSignature
166,Switzerland Proactive,Switzerland,Proactive,1998-05-28,1998,insure wages during sickness,FailedPostSignature
167,Switzerland Proactive,Switzerland,Proactive,1997-11-04,1997,mulitple,FailedPostSignature
168,Switzerland Proactive,Switzerland,Proactive,1997-11-04,1997,no legal barriers to free speech (and hate speech),FailedPostSignature
169,Switzerland Proactive,Switzerland,Proactive,1997-12-09,1997,abolish association complaints,FailedPostSignature
170,Switzerland Proactive,Switzerland,Proactive,1997-12-09,1997,build second gotthard tunnel,FailedPostSignature
171,Switzerland Proactive,Switzerland,Proactive,1997-12-09,1997,incease highway between geneve and lausanne to 6 lanes,FailedPostSignature
172,Switzerland Proactive,Switzerland,Proactive,1997-12-09,1997,incease highway between zurich and bern to 6 lanes,FailedPostSignature
173,Switzerland Proactive,Switzerland,Proactive,1997-11-04,1997,"establish special clinics for different issues, like drug abuse or curing cancer",FailedPostSignature
174,Switzerland Proactive,Switzerland,Proactive,1997-09-01,1997,"equal distribution of paid and unpaid work on all citizens, independent from gender",FailedPostSignature
175,Switzerland Proactive,Switzerland,Proactive,1997-04-25,1997,multiple issues regarding ground ownership,FailedPostSignature
